iter	Passed	Remaining
923	1663	136
924	1664	134
925	1667	133
926	1668	131
927	1670	129
928	1671	127
929	1673	125
930	1674	124
931	1676	122
932	1677	120
933	1678	118
934	1680	116
935	1682	115
936	1683	113
937	1684	111
938	1686	109
939	1688	107
940	1689	105
941	1690	104
942	1692	102
943	1693	100
944	1695	98
945	1696	96
946	1698	95
947	1699	93
948	1701	91
949	1702	89
950	1703	87
951	1705	85
952	1706	84
953	1708	82
954	1709	80
955	1711	78
956	1712	76
957	1714	75
958	1716	73
959	1717	71
960	1718	69
961	1719	67
962	1721	66
963	1722	64
964	1724	62
965	1726	60
966	1728	58
967	1729	57
968	1730	55
969	1732	53
970	1733	51
971	1735	49
972	1736	48
973	1738	46
974	1739	44
975	1741	42
976	1743	41
977	1744	39
978	1745	37
979	1747	35
980	1748	33
981	1750	32
982	1751	30
983	1752	28
984	1754	26
985	1756	24
986	1758	23
987	1760	21
988	1762	19
989	1764	17
990	1765	16
991	1767	14
992	1770	12
993	1771	10
994	1772	8
995	1774	7
996	1775	5
997	1777	3
998	1778	1
999	1779	0
